post_type_id	tags	reputation	user_id	user_type	accept_rate	profile_image	display_name	link	is_answered	view_count	accepted_answer_id	answer_count	score	last_activity_date	creation_date	last_edited_date	post_id	parent_id	link	title
1	"['php', 'arrays', 'string']"	446	10366695	registered	N/A	https://www.gravatar.com/avatar/80d4e434ed4eb710a7c3a06bbd5ac77f?s=128&d=identicon&r=PG	Snickers	https://stackoverflow.com/users/10366695/snickers	TRUE	52	52688221	4	2	1538913751	1538912970	N/A	52688200	N/A	https://stackoverflow.com/questions/52688200/how-can-i-figure-out-in-array-each-element-contains-a-certain-word	How can I figure out in array each element contains a certain word?
1	"['php', 'arrays', 'string']"	22	5927506	registered	40	https://graph.facebook.com/879418082184173/picture?type=large	Troy Wu	https://stackoverflow.com/users/5927506/troy-wu	FALSE	47	N/A	0	0	1537764974	1537556007	N/A	52449597	N/A	https://stackoverflow.com/questions/52449597/why-the-element-that-splits-out-from-an-array-is-not-a-string-in-php	Why the element that splits out from an array is not a string in PHP
1	"['php', 'arrays', 'string']"	22	10073627	registered	N/A	https://www.gravatar.com/avatar/345f51d7579cfeb332ff6c20b5901bab?s=128&d=identicon&r=PG&f=1	jens	https://stackoverflow.com/users/10073627/jens	TRUE	66	52215683	3	-1	1536552785	1536292822	N/A	52215089	N/A	https://stackoverflow.com/questions/52215089/how-to-put-a-loop-into-string-php	How to put a loop into string php?
1	"['php', 'arrays', 'string']"	47	4049399	registered	N/A	https://lh6.googleusercontent.com/-fbXlU9RO4M0/AAAAAAAAAAI/AAAAAAAAACY/ioP33aWw6qc/photo.jpg?sz=128	Devendra Gokhe	https://stackoverflow.com/users/4049399/devendra-gokhe	TRUE	48	52003911	4	2	1535112135	1535110793	N/A	52003676	N/A	https://stackoverflow.com/questions/52003676/pass-comma-separated-key-string-and-get-value-of-array-according-to-key-in-php	Pass comma separated key string and get value of array according to key in PHP
1	"['php', 'arrays', 'string']"	31	4784242	registered	60	https://lh4.googleusercontent.com/-kQvQU22nnno/AAAAAAAAAAI/AAAAAAAAAfI/CGg9sPdzhU4/photo.jpg?sz=128	Sarah Chaygani	https://stackoverflow.com/users/4784242/sarah-chaygani	FALSE	350	N/A	1	1	1534869521	1475774463	N/A	39902121	N/A	https://stackoverflow.com/questions/39902121/how-to-use-str-repeat-to-repeat-a-string-from-an-array-giving-an-index-of-each-l	How to use str_repeat to repeat a string from an array giving an index of each loop of the str_repeat
1	"['php', 'arrays', 'string']"	24	6826428	registered	20	https://lh6.googleusercontent.com/-ushjoUk5YmE/AAAAAAAAAAI/AAAAAAAAAEc/n1aXVp0PuYE/photo.jpg?sz=128	Ali	https://stackoverflow.com/users/6826428/ali	TRUE	54	51572246	2	-1	1532792767	1532787512	N/A	51572199	N/A	https://stackoverflow.com/questions/51572199/how-to-convert-an-string-to-array-in-php	how to convert an string to array in php?
1	"['php', 'arrays', 'string']"	998	1662139	registered	89	https://www.gravatar.com/avatar/495b3fd80fc54175e969403ee41aef8b?s=128&d=identicon&r=PG	Wojciech Szabowicz	https://stackoverflow.com/users/1662139/wojciech-szabowicz	TRUE	263	25288470	4	-2	1532337949	1407935616	N/A	25287224	N/A	https://stackoverflow.com/questions/25287224/how-to-convert-a-string-with-brackets-to-an-array-in-php	how to convert a string with brackets to an array in php
1	"['php', 'arrays', 'string']"	13	10071131	registered	N/A	https://lh6.googleusercontent.com/-rma34yF-chI/AAAAAAAAAAI/AAAAAAAAAAo/M_-UJ0c3vkc/photo.jpg?sz=128	Nahid Hossain	https://stackoverflow.com/users/10071131/nahid-hossain	FALSE	115	N/A	1	0	1532291002	1532277990	N/A	51467248	N/A	https://stackoverflow.com/questions/51467248/array-push-for-2d-array-in-php	array_push() for 2D array in PHP
1	"['php', 'arrays', 'string']"	380	6265376	registered	33	https://graph.facebook.com/708133839328118/picture?type=large	Taj Khan	https://stackoverflow.com/users/6265376/taj-khan	TRUE	38	51345199	1	2	1531754869	1531561114	N/A	51337190	N/A	https://stackoverflow.com/questions/51337190/is-it-necessary-to-define-a-variable-before-using-concatenation-assignment-opera	is it necessary to define a variable before using Concatenation assignment operator in php?
1	"['php', 'arrays', 'string']"	113	4608052	registered	50	https://www.gravatar.com/avatar/1b4e7d31374ac6a53bcceed2e8017fe2?s=128&d=identicon&r=PG&f=1	Senta	https://stackoverflow.com/users/4608052/senta	FALSE	72	N/A	2	0	1530872934	1530871679	N/A	51207981	N/A	https://stackoverflow.com/questions/51207981/split-string-with-form-fields	Split string with form fields
1	"['php', 'arrays', 'string']"	1	9917480	registered	N/A	https://lh3.googleusercontent.com/-Dev2uO1v5fI/AAAAAAAAAAI/AAAAAAAAAAA/AB6qoq27D2GxX9o9jWz_F7K5uZZTUP-bFA/mo/photo.jpg?sz=128	asoryp	https://stackoverflow.com/users/9917480/asoryp	TRUE	49	N/A	3	0	1528549494	1528534377	N/A	50772534	N/A	https://stackoverflow.com/questions/50772534/how-to-save-only-numeric-numbers-from-string-into-an-array-of-int-in-php	How to save only numeric numbers from string into an array of int in PHP
1	"['php', 'arrays', 'string']"	300	9704066	registered	N/A	https://i.stack.imgur.com/WX1Xn.jpg?s=128&g=1	Nemo	https://stackoverflow.com/users/9704066/nemo	TRUE	48	50764414	5	0	1528474058	1528470968	N/A	50763702	N/A	https://stackoverflow.com/questions/50763702/get-specific-parts-of-a-string-based-on-specific-words-in-the-string-php	Get specific parts of a string based on specific words in the string php
1	"['php', 'arrays', 'string']"	13	8780639	registered	N/A	https://i.stack.imgur.com/vJ8Y4.jpg?s=128&g=1	Teenager	https://stackoverflow.com/users/8780639/teenager	TRUE	36	50738875	2	0	1528391662	1528366634	N/A	50738729	N/A	https://stackoverflow.com/questions/50738729/how-to-get-all-string-which-are-after-a-specific-string-into-an-array-in-php	How to get all string which are after a specific string into an array in php
1	"['php', 'arrays', 'string']"	8	9104862	registered	N/A	https://graph.facebook.com/1830666583897617/picture?type=large	Tobias Ladzenski	https://stackoverflow.com/users/9104862/tobias-ladzenski	TRUE	33	50555949	1	1	1527452981	1527450765	N/A	50555938	N/A	https://stackoverflow.com/questions/50555938/convert-string-into-sequential-array-in-php	convert string into sequential array in php
1	"['php', 'arrays', 'string']"	13	9842097	registered	N/A	https://lh5.googleusercontent.com/-6I2cq-nbjiE/AAAAAAAAAAI/AAAAAAAAAXA/cdfJk_dlzZM/photo.jpg?sz=128	M A S S	https://stackoverflow.com/users/9842097/m-a-s-s	TRUE	90	50533166	2	1	1527264549	1527233835	N/A	50523872	N/A	https://stackoverflow.com/questions/50523872/convert-an-array-into-string-or-object	Convert an array into string or object
1	"['php', 'arrays', 'string']"	9625	98514	registered	76	https://www.gravatar.com/avatar/1414fd68e16729db11e544785bb3c0f3?s=128&d=identicon&r=PG	Kevin	https://stackoverflow.com/users/98514/kevin	TRUE	398321	1125740	6	243	1526906126	1247581312	N/A	1125730	N/A	https://stackoverflow.com/questions/1125730/how-can-i-split-a-comma-delimited-string-into-an-array-in-php	How can I split a comma delimited string into an array in PHP?
1	"['php', 'arrays', 'string']"	203	332726	unregistered	N/A	https://www.gravatar.com/avatar/7fd304b45f0b741a2e4e0fec174d5755?s=128&d=identicon&r=PG	AJ.	https://stackoverflow.com/users/332726/aj	TRUE	56602	2768335	7	40	1526905351	1273000867	N/A	2768314	N/A	https://stackoverflow.com/questions/2768314/convert-a-string-into-an-array-of-characters	Convert a String into an Array of Characters
1	"['php', 'arrays', 'string']"	15	8821554	registered	0	https://www.gravatar.com/avatar/1ec8baaa46a936b3a5ef3f36eedf1a45?s=128&d=identicon&r=PG&f=1	Rade	https://stackoverflow.com/users/8821554/rade	FALSE	49	N/A	1	-1	1525427394	1525427042	N/A	50171948	N/A	https://stackoverflow.com/questions/50171948/php-arrray-and-string	PHP arrray and string
1	"['php', 'arrays', 'string']"	419	5199242	registered	N/A	https://www.gravatar.com/avatar/4dcce620d9dcd588c6154ec686cdfcf6?s=128&d=identicon&r=PG&f=1	chevallier	https://stackoverflow.com/users/5199242/chevallier	TRUE	50	50153730	3	1	1525348519	1525345679	N/A	50153570	N/A	https://stackoverflow.com/questions/50153570/how-could-i-split-a-string-after-the-n-th-field-and-create-an-array-from-the-rem	How could I split a string after the n-th field and create an array from the remaining parts in PHP?
1	"['php', 'arrays', 'string']"	198	5445432	registered	86	https://lh5.googleusercontent.com/-5eUqAAOp_So/AAAAAAAAAAI/AAAAAAAAALw/7C_QHH4U1ek/photo.jpg?sz=128	hemanth kumar	https://stackoverflow.com/users/5445432/hemanth-kumar	TRUE	85	49907517	3	1	1524079884	1524078621	N/A	49907331	N/A	https://stackoverflow.com/questions/49907331/store-array-of-arrays-value-in-one-comma-separated-string	Store array of arrays value in one comma separated string
